"_id",pokemon,moves.0,moves.1,moves.2,moves.3,moves.4,moves.5,moves.6,moves.7,moves.8,moves.9,moves.10,moves.11,moves.12,moves.13,moves.14,moves.15,moves.16,moves.17,moves.18,moves.19,moves.20,moves.21,moves.22,moves.23,moves.24,moves.25,moves.26,moves.27,moves.28,moves.29,moves.30,moves.31,moves.32,moves.33,moves.34,moves.35,moves.36,moves.37,moves.38,moves.39,moves.40,moves.41,moves.42,moves.43,moves.44,moves.45,moves.46,moves.47,moves.48,moves.49,moves.50,moves.51,moves.52,moves.53,moves.54,moves.55,moves.56,moves.57,moves.58,moves.59,moves.60,moves.61,moves.62,moves.63,moves.64,moves.65,moves.66,moves.67,moves.68,moves.69,moves.70,moves.71,moves.72,moves.73,moves.74,moves.75,moves.76,moves.77,moves.78,moves.79,moves.80,moves.81,moves.82,moves.83,moves.84,moves.85,moves.86,moves.87,moves.88,moves.89,moves.90,moves.91,moves.92,moves.93,moves.94,moves.95,moves.96,moves.97,moves.98,moves.99,moves.100,moves.101,moves.102,moves.103,moves.104,moves.105
5e825b9502284d30719df38f,meowstic,mean-look,scratch,leer,fake-out,disarming-voice,confusion,helping-hand,charm,covet,psybeam,sucker-punch,role-play,light-screen,reflect,psyshock,imprison,quick-guard,psychic,misty-terrain,pay-day,hyper-beam,giga-impact,thunder-wave,dig,safeguard,rest,snore,protect,attract,rain-dance,sunny-day,facade,swift,fake-tears,payback,trick-room,wonder-room,magic-room,round,tail-slap,psychic-terrain,thunderbolt,substitute,endure,sleep-talk,iron-tail,shadow-ball,trick,skill-swap,calm-mind,dark-pulse,energy-ball,nasty-plot,zen-headbutt,ally-switch,work-up,play-rough,tickle,yawn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e825b9502284d30719df390,melmetal,harden,headbutt,tail-whip,thunder-punch,thunder-wave,thunder-shock,acid-armor,flash-cannon,mega-punch,protect,double-iron-bash,superpower,hyper-beam,rest,substitute,facade,brick-break,rock-slide,ice-punch,thunderbolt,earthquake,self-destruct,ice-beam,thunder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e825b9502284d30719df391,bulbasaur,amnesia,attract,bide,bind,block,body-slam,bullet-seed,captivate,celebrate,charm,confide,curse,cut,defense-curl,double-edge,double-team,echoed-voice,endure,energy-ball,facade,false-swipe,flash,frenzy-plant,frustration,fury-cutter,giga-drain,grass-knot,grass-pledge,grass-whistle,grassy-terrain,growl,growth,headbutt,hidden-power-bug,hidden-power-dark,hidden-power-dragon,hidden-power-electric,hidden-power-fighting,hidden-power-fire,hidden-power-flying,hidden-power-ghost,hidden-power-grass,hidden-power-ground,hidden-power-ice,hidden-power-poison,hidden-power-psychic,hidden-power-rock,hidden-power-steel,hidden-power-water,ingrain,knock-off,leaf-storm,leech-seed,light-screen,magical-leaf,mega-drain,mimic,mud-slap,natural-gift,nature-power,petal-dance,poison-powder,power-whip,protect,rage,razor-leaf,reflect,rest,return,rock-smash,round,safeguard,secret-power,seed-bomb,skull-bash,sleep-powder,sleep-talk,sludge,sludge-bomb,snore,solar-beam,strength,string-shot,substitute,sunny-day,swagger,sweet-scent,swords-dance,synthesis,tackle,take-down,toxic,venoshock,vine-whip,weather-ball,work-up,worry-seed,,,,,,,,,
5e825b9502284d30719df392,ivysaur,amnesia,amnesia,attract,attract,bide,bind,bind,block,body-slam,body-slam,bullet-seed,bullet-seed,captivate,captivate,celebrate,charm,charm,confide,confide,curse,curse,cut,cut,defense-curl,defense-curl,double-edge,double-edge,double-team,double-team,echoed-voice,echoed-voice,endure,endure,energy-ball,energy-ball,facade,facade,false-swipe,flash,flash,frenzy-plant,frenzy-plant,frustration,frustration,fury-cutter,fury-cutter,giga-drain,giga-drain,grass-knot,grass-knot,grass-pledge,grass-pledge,grass-whistle,grass-whistle,grassy-terrain,grassy-terrain,growl,growl,growth,growth,headbutt,headbutt,hidden-power-bug,hidden-power-bug,hidden-power-dark,hidden-power-dark,hidden-power-dragon,hidden-power-dragon,hidden-power-electric,hidden-power-electric,hidden-power-fighting,hidden-power-fighting,hidden-power-fire,hidden-power-fire,hidden-power-flying,hidden-power-flying,hidden-power-ghost,hidden-power-ghost,hidden-power-grass,hidden-power-grass,hidden-power-ground,hidden-power-ground,hidden-power-ice,hidden-power-ice,hidden-power-poison,hidden-power-poison,hidden-power-psychic,hidden-power-psychic,hidden-power-rock,hidden-power-rock,hidden-power-steel,hidden-power-steel,hidden-power-water,hidden-power-water,ingrain,ingrain,knock-off,knock-off,leaf-storm,leaf-storm,leech-seed,leech-seed,light-screen,light-screen,magical-leaf,magical-leaf
5e825b9502284d30719df393,venusaur,petal-blizzard,petal-dance,tackle,growl,vine-whip,growth,leech-seed,razor-leaf,poison-powder,sleep-powder,seed-bomb,take-down,sweet-scent,synthesis,worry-seed,double-edge,solar-beam,hyper-beam,giga-impact,magical-leaf,light-screen,safeguard,rest,snore,protect,giga-drain,charm,attract,sunny-day,facade,helping-hand,weather-ball,bullet-seed,venoshock,round,bulldoze,grassy-terrain,false-swipe,stomping-tantrum,swords-dance,body-slam,earthquake,amnesia,substitute,sludge-bomb,outrage,endure,sleep-talk,energy-ball,earth-power,leaf-storm,power-whip,grass-knot,work-up,curse,ingrain,nature-power,skull-bash,toxic,frenzy-plant,grass-pledge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e825b9502284d30719df394,charmander,scratch,growl,ember,smokescreen,dragon-breath,fire-fang,slash,flamethrower,scary-face,fire-spin,inferno,flare-blitz,mega-punch,mega-kick,fire-punch,thunder-punch,dig,rest,rock-slide,snore,protect,attract,sunny-day,beat-up,will-o-wisp,facade,swift,helping-hand,brick-break,weather-ball,rock-tomb,fling,shadow-claw,round,acrobatics,false-swipe,swords-dance,body-slam,fire-blast,substitute,outrage,endure,sleep-talk,iron-tail,crunch,heat-wave,overheat,dragon-claw,dragon-dance,dragon-pulse,work-up,ancient-power,belly-drum,bite,counter,dragon-rush,dragon-tail,metal-claw,wing-attack,fire-pledge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e825b9502284d30719df395,charmeleon,scratch,growl,ember,smokescreen,dragon-breath,fire-fang,slash,flamethrower,scary-face,fire-spin,inferno,flare-blitz,mega-punch,mega-kick,fire-punch,thunder-punch,dig,rest,rock-slide,snore,protect,attract,sunny-day,beat-up,will-o-wisp,facade,swift,helping-hand,brick-break,weather-ball,rock-tomb,fling,shadow-claw,round,acrobatics,false-swipe,swords-dance,body-slam,fire-blast,substitute,outrage,endure,sleep-talk,iron-tail,crunch,heat-wave,overheat,dragon-claw,dragon-dance,dragon-pulse,work-up,ancient-power,belly-drum,bite,counter,dragon-rush,dragon-tail,metal-claw,wing-attack,fire-pledge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e825b9502284d30719df396,charizard,air-slash,dragon-claw,heat-wave,scratch,growl,ember,smokescreen,dragon-breath,fire-fang,slash,flamethrower,scary-face,fire-spin,inferno,flare-blitz,mega-punch,mega-kick,fire-punch,thunder-punch,fly,hyper-beam,giga-impact,solar-beam,dig,rest,rock-slide,snore,protect,steel-wing,attract,sunny-day,beat-up,will-o-wisp,facade,swift,helping-hand,brick-break,weather-ball,rock-tomb,fling,shadow-claw,round,acrobatics,bulldoze,mystical-fire,false-swipe,brutal-swing,breaking-swipe,swords-dance,body-slam,earthquake,fire-blast,substitute,outrage,endure,sleep-talk,iron-tail,crunch,blaze-kick,overheat,dragon-dance,dragon-pulse,focus-blast,work-up,heat-crash,hurricane,ancient-power,belly-drum,bite,counter,dragon-rush,dragon-tail,metal-claw,wing-attack,blast-burn,fire-pledge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e825b9502284d30719df397,squirtle,tackle,tail-whip,water-gun,withdraw,rapid-spin,bite,water-pulse,protect,rain-dance,aqua-tail,shell-smash,iron-defense,hydro-pump,skull-bash,mega-punch,mega-kick,ice-punch,dig,rest,snore,icy-wind,attract,hail,whirlpool,facade,helping-hand,brick-break,dive,weather-ball,rock-tomb,brine,fling,round,false-swipe,body-slam,surf,ice-beam,blizzard,waterfall,substitute,endure,sleep-talk,iron-tail,muddy-water,gyro-ball,aura-sphere,dragon-pulse,zen-headbutt,scald,work-up,aqua-jet,aqua-ring,fake-out,flail,haze,life-dew,mirror-coat,mist,water-spout,yawn,water-pledge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e825b9502284d30719df398,wartortle,tackle,tail-whip,water-gun,withdraw,rapid-spin,bite,water-pulse,protect,rain-dance,aqua-tail,shell-smash,iron-defense,hydro-pump,skull-bash,mega-punch,mega-kick,ice-punch,dig,rest,snore,icy-wind,attract,hail,whirlpool,facade,helping-hand,brick-break,dive,weather-ball,rock-tomb,brine,fling,round,false-swipe,body-slam,surf,ice-beam,blizzard,waterfall,substitute,endure,sleep-talk,iron-tail,muddy-water,gyro-ball,aura-sphere,dragon-pulse,zen-headbutt,scald,work-up,aqua-jet,aqua-ring,fake-out,flail,haze,life-dew,mirror-coat,mist,water-spout,yawn,water-pledge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
